,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
521,0 DM,18,Existing credits paid duly till now,radio/TV,3190,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes,2
522,0 DM,48,No credits taken,furnitures,7119,<100 DM,employed from 1 to 4 years,3,male single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,none,yes,2
523,No account,24,Existing credits paid duly till now,used car,3488,100-500 DM,employed from 4 to 7 years,3,female divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,none,yes,1
524,<200 DM,18,Existing credits paid duly till now,radio/TV,1113,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes,1
525,<200 DM,26,Existing credits paid duly till now,used car,7966,<100 DM,employed under 1 year,2,male single,none,3,"car or other, not in attribute 6",30,none,own,2,skilled employee/official,1,none,yes,1
526,No account,15,Has credits in other banks,education,1532,100-500 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,none,yes,1
527,No account,4,Has credits in other banks,radio/TV,1503,<100 DM,employed from 4 to 7 years,2,male single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,1
528,0 DM,36,Existing credits paid duly till now,radio/TV,2302,<100 DM,employed from 1 to 4 years,4,male divorced/separated,none,4,"car or other, not in attribute 6",31,none,rent,1,skilled employee/official,1,none,yes,2
529,0 DM,6,Existing credits paid duly till now,new car,662,<100 DM,employed under 1 year,3,male single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,1
530,<200 DM,36,Existing credits paid duly till now,education,2273,<100 DM,employed from 4 to 7 years,3,male single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee/official,2,none,yes,1
531,<200 DM,15,Existing credits paid duly till now,new car,2631,100-500 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,2,skilled employee/official,1,yes,yes,2
532,No account,12,Delay in paying in past,used car,1503,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,none,yes,1
533,No account,24,Existing credits paid duly till now,radio/TV,1311,100-500 DM,employed from 4 to 7 years,4,male married/widowed,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1
534,No account,24,Existing credits paid duly till now,radio/TV,3105,Unknown/No savings,employed under 1 year,4,male single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee/official,1,none,yes,1
535,>=200 DM,21,Has credits in other banks,education,2319,<100 DM,employed under 1 year,2,male divorced/separated,none,1,"car or other, not in attribute 6",33,none,rent,1,skilled employee/official,1,none,yes,2
536,0 DM,6,Existing credits paid duly till now,new car,1374,Unknown/No savings,unemployed,4,female divorced/separated/married,none,3,building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
537,<200 DM,18,Has credits in other banks,furnitures,3612,<100 DM,employed 7 years or more,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,yes,yes,1
538,0 DM,48,Existing credits paid duly till now,new car,7763,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,none,yes,2
539,>=200 DM,18,Existing credits paid duly till now,furnitures,3049,<100 DM,employed under 1 year,1,female divorced/separated/married,none,1,building society savings agreement/life insurance,45,stores,own,1,unskilled - resident,1,none,yes,1
540,<200 DM,12,Existing credits paid duly till now,radio/TV,1534,<100 DM,employed under 1 year,1,male married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,none,yes,2
541,No account,24,Delay in paying in past,new car,2032,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,60,none,for free,2,skilled employee/official,1,yes,yes,1
542,0 DM,30,Existing credits paid duly till now,furnitures,6350,Unknown/No savings,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,none,yes,2
543,>=200 DM,18,Existing credits paid duly till now,furnitures,2864,<100 DM,employed from 1 to 4 years,2,male single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,2
544,No account,12,Has credits in other banks,new car,1255,<100 DM,employed 7 years or more,4,male single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,1
545,0 DM,24,Delay in paying in past,new car,1333,<100 DM,unemployed,4,male single,none,2,real estate,43,none,for free,2,skilled employee/official,2,none,yes,2
546,No account,24,Has credits in other banks,new car,2022,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,1,yes,yes,1
547,No account,24,Existing credits paid duly till now,radio/TV,1552,<100 DM,employed from 4 to 7 years,3,male single,none,1,"car or other, not in attribute 6",32,bank,own,1,skilled employee/official,2,none,yes,1
548,0 DM,12,All credits paid duly,radio/TV,626,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,2
549,No account,48,Has credits in other banks,used car,8858,Unknown/No savings,employed from 4 to 7 years,2,male single,none,1,unknown/no property,35,none,for free,2,skilled employee/official,1,yes,yes,1
550,No account,12,Has credits in other banks,repairs,996,Unknown/No savings,employed from 4 to 7 years,4,female divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,1
551,No account,6,All credits paid duly,radio/TV,1750,500-1000 DM,employed 7 years or more,2,male single,none,4,building society savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,none,yes,1
552,0 DM,48,Existing credits paid duly till now,radio/TV,6999,<100 DM,employed from 4 to 7 years,1,male married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,yes,yes,2
553,<200 DM,12,Has credits in other banks,new car,1995,100-500 DM,employed under 1 year,4,male single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee/official,1,none,yes,1
554,<200 DM,9,Existing credits paid duly till now,education,1199,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
555,<200 DM,12,Existing credits paid duly till now,radio/TV,1331,<100 DM,employed under 1 year,2,male single,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee/official,1,none,yes,2
556,<200 DM,18,No credits taken,new car,2278,100-500 DM,employed under 1 year,3,female divorced/separated/married,none,3,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,none,yes,2
557,No account,21,No credits taken,new car,5003,Unknown/No savings,employed from 1 to 4 years,1,female divorced/separated/married,none,4,building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,yes,yes,2
558,0 DM,24,All credits paid duly,furnitures,3552,<100 DM,employed from 4 to 7 years,3,male single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee/official,1,none,yes,2
559,<200 DM,18,Has credits in other banks,furnitures,1928,<100 DM,employed under 1 year,2,male single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,2
560,0 DM,24,Existing credits paid duly till now,used car,2964,Unknown/No savings,employed 7 years or more,4,male single,none,4,unknown/no property,49,bank,for free,1,skilled employee/official,2,yes,yes,1
561,0 DM,24,All credits paid duly,radio/TV,1546,<100 DM,employed from 4 to 7 years,4,male single,guarantor,4,"car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,1,none,yes,2
562,>=200 DM,6,Delay in paying in past,radio/TV,683,<100 DM,employed under 1 year,2,female divorced/separated/married,none,1,building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,none,yes,1
563,<200 DM,36,Existing credits paid duly till now,new car,12389,Unknown/No savings,employed from 1 to 4 years,1,male single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,yes,yes,2
564,<200 DM,24,Delay in paying in past,business,4712,Unknown/No savings,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
565,<200 DM,24,Delay in paying in past,radio/TV,1553,100-500 DM,employed from 4 to 7 years,3,female divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,yes,yes,1
566,0 DM,12,Existing credits paid duly till now,new car,1372,<100 DM,employed from 4 to 7 years,2,male divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,skilled employee/official,1,none,yes,2
567,No account,24,Has credits in other banks,radio/TV,2578,>1000 DM,employed 7 years or more,2,male single,none,2,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,1,none,yes,1
568,<200 DM,48,Existing credits paid duly till now,radio/TV,3979,Unknown/No savings,employed from 4 to 7 years,4,male single,none,1,"car or other, not in attribute 6",41,none,own,2,skilled employee/official,2,yes,yes,1
569,0 DM,48,Existing credits paid duly till now,radio/TV,6758,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,yes,yes,2
570,0 DM,24,Existing credits paid duly till now,furnitures,3234,<100 DM,employed under 1 year,4,female divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,2
571,No account,30,Has credits in other banks,radio/TV,5954,<100 DM,employed from 4 to 7 years,3,male single,co-applicant,2,"car or other, not in attribute 6",38,none,own,1,skilled employee/official,1,none,yes,1
572,No account,24,Existing credits paid duly till now,used car,5433,Unknown/No savings,unemployed,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
573,0 DM,15,Existing credits paid duly till now,business,806,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,own,1,unskilled - resident,1,none,yes,1
574,<200 DM,9,Existing credits paid duly till now,radio/TV,1082,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,1
575,No account,15,Has credits in other banks,furnitures,2788,<100 DM,employed from 4 to 7 years,2,female divorced/separated/married,co-applicant,3,"car or other, not in attribute 6",24,bank,own,2,skilled employee/official,1,none,yes,1
576,<200 DM,12,Existing credits paid duly till now,radio/TV,2930,<100 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes,1
577,No account,24,Has credits in other banks,education,1927,Unknown/No savings,employed from 1 to 4 years,3,female divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,2,skilled employee/official,1,yes,yes,1
578,<200 DM,36,Has credits in other banks,new car,2820,<100 DM,employed under 1 year,4,male divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee/official,1,none,yes,2
579,No account,24,Existing credits paid duly till now,retraining,937,<100 DM,employed under 1 year,4,male married/widowed,none,3,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,1
580,<200 DM,18,Has credits in other banks,new car,1056,<100 DM,employed 7 years or more,3,male single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,none,yes,2
581,<200 DM,12,Has credits in other banks,new car,3124,<100 DM,employed under 1 year,1,male single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,1
582,No account,9,Existing credits paid duly till now,furnitures,1388,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,none,yes,1
583,<200 DM,36,Existing credits paid duly till now,repairs,2384,<100 DM,employed under 1 year,4,male single,none,1,unknown/no property,33,none,rent,1,unskilled - resident,1,none,yes,2
584,No account,12,Existing credits paid duly till now,new car,2133,Unknown/No savings,employed 7 years or more,4,female divorced/separated/married,none,4,unknown/no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
585,0 DM,18,Existing credits paid duly till now,furnitures,2039,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,none,yes,2
586,0 DM,9,Has credits in other banks,new car,2799,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes,1
587,0 DM,12,Existing credits paid duly till now,furnitures,1289,<100 DM,employed from 1 to 4 years,4,male single,guarantor,1,building society savings agreement/life insurance,21,none,own,1,unskilled - resident,1,none,yes,1
588,0 DM,18,Existing credits paid duly till now,household appliances,1217,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,2
589,0 DM,12,Has credits in other banks,furnitures,2246,<100 DM,employed 7 years or more,3,male single,none,3,building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,none,yes,2
590,0 DM,12,Has credits in other banks,radio/TV,385,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,1
591,<200 DM,24,Delay in paying in past,new car,1965,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,rent,2,skilled employee/official,1,yes,yes,1
592,No account,21,Existing credits paid duly till now,business,1572,>1000 DM,employed 7 years or more,4,female divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,1
593,<200 DM,24,Existing credits paid duly till now,new car,2718,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,2
594,0 DM,24,All credits paid duly,others,1358,Unknown/No savings,employed 7 years or more,4,male single,none,3,"car or other, not in attribute 6",40,stores,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
595,<200 DM,6,All credits paid duly,new car,931,100-500 DM,employed under 1 year,1,female divorced/separated/married,none,1,building society savings agreement/life insurance,32,stores,own,1,unskilled - resident,1,none,yes,2
596,0 DM,24,Existing credits paid duly till now,new car,1442,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,2,skilled employee/official,1,none,yes,2
597,<200 DM,24,No credits taken,business,4241,<100 DM,employed from 1 to 4 years,1,male single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,2
598,No account,18,Has credits in other banks,new car,2775,<100 DM,employed from 4 to 7 years,2,male single,none,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,none,yes,2
599,No account,24,Delay in paying in past,business,3863,<100 DM,employed from 1 to 4 years,1,male single,none,2,unknown/no property,32,none,for free,1,skilled employee/official,1,none,yes,1
600,<200 DM,7,Existing credits paid duly till now,radio/TV,2329,<100 DM,employed under 1 year,1,female divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,1
601,<200 DM,9,Existing credits paid duly till now,furnitures,918,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,none,yes,2
602,<200 DM,24,All credits paid duly,education,1837,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,4,unknown/no property,34,bank,for free,1,unskilled - resident,1,none,yes,2
603,No account,36,Existing credits paid duly till now,furnitures,3349,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",28,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
604,>=200 DM,10,Existing credits paid duly till now,furnitures,1275,<100 DM,employed under 1 year,4,female divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,none,yes,1
605,0 DM,24,All credits paid duly,furnitures,2828,500-1000 DM,employed from 1 to 4 years,4,male single,none,4,real estate,22,stores,own,1,skilled employee/official,1,yes,yes,1
606,No account,24,Has credits in other banks,business,4526,<100 DM,employed from 1 to 4 years,3,male single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
607,<200 DM,36,Existing credits paid duly till now,radio/TV,2671,100-500 DM,employed from 1 to 4 years,4,female divorced/separated/married,co-applicant,4,unknown/no property,50,none,for free,1,skilled employee/official,1,none,yes,2
608,No account,18,Existing credits paid duly till now,radio/TV,2051,<100 DM,employed under 1 year,4,male single,none,1,real estate,33,none,own,1,skilled employee/official,1,none,yes,1
609,No account,15,Existing credits paid duly till now,used car,1300,Unknown/No savings,employed 7 years or more,4,male single,none,4,unknown/no property,45,bank,for free,1,skilled employee/official,2,none,yes,1
610,0 DM,12,Existing credits paid duly till now,household appliances,741,100-500 DM,unemployed,4,female divorced/separated/married,none,3,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,none,yes,2
611,>=200 DM,10,Existing credits paid duly till now,new car,1240,100-500 DM,employed 7 years or more,1,female divorced/separated/married,none,4,unknown/no property,48,none,for free,1,unskilled - resident,2,none,yes,2
612,0 DM,21,Existing credits paid duly till now,radio/TV,3357,>1000 DM,employed under 1 year,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee/official,1,none,yes,1
613,0 DM,24,All credits paid duly,used car,3632,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,guarantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee/official,1,none,no,1
614,No account,18,Delay in paying in past,furnitures,1808,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,2
615,<200 DM,48,No credits taken,business,12204,Unknown/No savings,employed from 1 to 4 years,2,male single,none,2,"car or other, not in attribute 6",48,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
616,<200 DM,60,Delay in paying in past,radio/TV,9157,Unknown/No savings,employed from 1 to 4 years,2,male single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
617,0 DM,6,Has credits in other banks,new car,3676,<100 DM,employed from 1 to 4 years,1,male single,none,3,real estate,37,none,rent,3,skilled employee/official,2,none,yes,1
618,<200 DM,30,Existing credits paid duly till now,furnitures,3441,100-500 DM,employed from 1 to 4 years,2,female divorced/separated/married,co-applicant,4,"car or other, not in attribute 6",21,none,rent,1,skilled employee/official,1,none,yes,2
619,No account,12,Existing credits paid duly till now,new car,640,<100 DM,employed from 1 to 4 years,4,male divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,1
620,<200 DM,21,Has credits in other banks,business,3652,<100 DM,employed from 4 to 7 years,2,male single,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,1
621,No account,18,Has credits in other banks,new car,1530,<100 DM,employed from 1 to 4 years,3,male single,none,2,building society savings agreement/life insurance,32,bank,own,2,skilled employee/official,1,none,yes,2
622,No account,48,Existing credits paid duly till now,business,3914,Unknown/No savings,employed from 1 to 4 years,4,male divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,none,yes,2
623,0 DM,12,Existing credits paid duly till now,furnitures,1858,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,rent,1,skilled employee/official,1,none,yes,1
624,0 DM,18,Existing credits paid duly till now,radio/TV,2600,<100 DM,employed from 1 to 4 years,4,male single,none,4,unknown/no property,65,none,for free,2,skilled employee/official,1,none,yes,2
625,No account,15,Existing credits paid duly till now,radio/TV,1979,Unknown/No savings,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",35,none,own,1,skilled employee/official,1,none,yes,1
626,>=200 DM,6,Existing credits paid duly till now,furnitures,2116,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,41,none,own,1,skilled employee/official,1,yes,yes,1
627,<200 DM,9,All credits paid duly,new car,1437,100-500 DM,employed from 4 to 7 years,2,male single,none,3,unknown/no property,29,none,own,1,skilled employee/official,1,none,yes,2
628,No account,42,Has credits in other banks,furnitures,4042,500-1000 DM,employed from 1 to 4 years,4,male single,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes,1
629,No account,9,Existing credits paid duly till now,education,3832,Unknown/No savings,employed 7 years or more,1,male single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,1
630,0 DM,24,Existing credits paid duly till now,radio/TV,3660,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,1
631,0 DM,18,All credits paid duly,furnitures,1553,<100 DM,employed from 1 to 4 years,4,male single,none,3,"car or other, not in attribute 6",44,bank,own,1,skilled employee/official,1,none,yes,2
632,<200 DM,15,Existing credits paid duly till now,radio/TV,1444,Unknown/No savings,employed under 1 year,4,male single,none,1,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,none,yes,1
633,No account,9,Existing credits paid duly till now,furnitures,1980,<100 DM,employed under 1 year,2,female divorced/separated/married,co-applicant,2,"car or other, not in attribute 6",19,none,rent,2,skilled employee/official,1,none,yes,2
634,<200 DM,24,Existing credits paid duly till now,new car,1355,<100 DM,employed under 1 year,3,female divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,unskilled - resident,1,yes,yes,2
635,No account,12,Existing credits paid duly till now,education,1393,<100 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,yes,yes,1
636,No account,24,Existing credits paid duly till now,radio/TV,1376,500-1000 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,1
637,No account,60,Delay in paying in past,radio/TV,15653,<100 DM,employed from 4 to 7 years,2,male single,none,4,"car or other, not in attribute 6",21,none,own,2,skilled employee/official,1,yes,yes,1
638,No account,12,Existing credits paid duly till now,radio/TV,1493,<100 DM,employed under 1 year,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,2,none,yes,1
639,0 DM,42,Delay in paying in past,radio/TV,4370,<100 DM,employed from 4 to 7 years,3,male single,none,2,building society savings agreement/life insurance,26,bank,own,2,skilled employee/official,2,yes,yes,2
640,0 DM,18,Existing credits paid duly till now,education,750,<100 DM,unemployed,4,female divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled - non-resident,1,none,yes,2
641,<200 DM,15,Existing credits paid duly till now,repairs,1308,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",38,none,own,2,unskilled - resident,1,none,yes,1
642,No account,15,Existing credits paid duly till now,education,4623,100-500 DM,employed from 1 to 4 years,3,male single,none,2,building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
643,No account,24,Has credits in other banks,radio/TV,1851,<100 DM,employed from 4 to 7 years,4,male married/widowed,guarantor,2,"car or other, not in attribute 6",33,none,own,2,skilled employee/official,1,yes,yes,1
644,0 DM,18,Has credits in other banks,radio/TV,1880,<100 DM,employed from 4 to 7 years,4,male married/widowed,none,1,building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
645,No account,36,Delay in paying in past,business,7980,Unknown/No savings,employed under 1 year,4,male single,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee/official,1,yes,yes,2
646,0 DM,30,No credits taken,furnitures,4583,<100 DM,employed from 1 to 4 years,2,male divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,none,yes,1
647,No account,12,Existing credits paid duly till now,new car,1386,500-1000 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,none,yes,2
648,>=200 DM,24,Existing credits paid duly till now,new car,947,<100 DM,employed from 4 to 7 years,4,male single,none,3,unknown/no property,38,bank,for free,1,skilled employee/official,2,none,yes,2
649,0 DM,12,Existing credits paid duly till now,education,684,<100 DM,employed from 1 to 4 years,4,male single,none,4,"car or other, not in attribute 6",40,none,rent,1,unskilled - resident,2,none,yes,2
650,0 DM,48,Existing credits paid duly till now,education,7476,<100 DM,employed from 4 to 7 years,4,male single,none,1,unknown/no property,50,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
651,<200 DM,12,Existing credits paid duly till now,furnitures,1922,<100 DM,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,1,none,yes,2
652,0 DM,24,Existing credits paid duly till now,new car,2303,<100 DM,employed 7 years or more,4,male single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,2
653,<200 DM,36,Delay in paying in past,new car,8086,100-500 DM,employed 7 years or more,2,male single,none,4,"car or other, not in attribute 6",42,none,own,4,management/self-employed/highly qualified employee/officer,1,yes,yes,2
654,No account,24,Has credits in other banks,used car,2346,<100 DM,employed from 4 to 7 years,4,male single,none,3,"car or other, not in attribute 6",35,none,own,2,skilled employee/official,1,yes,yes,1
655,0 DM,14,Existing credits paid duly till now,new car,3973,<100 DM,unemployed,1,male single,none,4,unknown/no property,22,none,for free,1,skilled employee/official,1,none,yes,1
656,<200 DM,12,Existing credits paid duly till now,new car,888,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",41,bank,own,1,unskilled - resident,2,none,yes,2
657,No account,48,Existing credits paid duly till now,radio/TV,10222,Unknown/No savings,employed from 4 to 7 years,4,male single,none,3,"car or other, not in attribute 6",37,stores,own,1,skilled employee/official,1,yes,yes,1
658,<200 DM,30,No credits taken,business,4221,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,none,yes,1
659,<200 DM,18,Has credits in other banks,furnitures,6361,<100 DM,employed 7 years or more,2,male single,none,1,unknown/no property,41,none,own,1,skilled employee/official,1,yes,yes,1
660,>=200 DM,12,Existing credits paid duly till now,radio/TV,1297,<100 DM,employed from 1 to 4 years,3,male married/widowed,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes,1
661,0 DM,12,Existing credits paid duly till now,new car,900,Unknown/No savings,employed from 1 to 4 years,4,male married/widowed,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,none,yes,2
662,No account,21,Existing credits paid duly till now,furnitures,2241,<100 DM,employed 7 years or more,4,male single,none,2,real estate,50,none,own,2,skilled employee/official,1,none,yes,1
663,<200 DM,6,Delay in paying in past,furnitures,1050,<100 DM,unemployed,4,male single,none,1,building society savings agreement/life insurance,35,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
664,>=200 DM,6,Has credits in other banks,education,1047,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,50,none,own,1,unskilled - resident,1,none,yes,1
665,No account,24,Has credits in other banks,others,6314,<100 DM,unemployed,4,male single,co-applicant,2,unknown/no property,27,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
666,<200 DM,30,All credits paid duly,furnitures,3496,>1000 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",34,stores,own,1,skilled employee/official,2,yes,yes,1
667,No account,48,All credits paid duly,business,3609,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee/official,1,none,yes,1
668,0 DM,12,Has credits in other banks,new car,4843,<100 DM,employed 7 years or more,3,male single,co-applicant,4,building society savings agreement/life insurance,43,none,rent,2,skilled employee/official,1,yes,yes,2
669,>=200 DM,30,Has credits in other banks,radio/TV,3017,<100 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,47,none,own,1,skilled employee/official,1,none,yes,1
